127.0.0.1 - - [03/Nov/2024:12:45:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:43 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:43 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:46 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:46 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:46 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:47 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:48 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:48 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:48 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:48 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:49 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:49 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:49 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:49 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:47:50 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:47:50 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:47:51 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:47:51 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:48:22 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:48:22 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:48:22 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:48:22 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:36 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:36 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:37 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:37 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:39 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:39 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:39 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:49:39 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
